Q1,-7.99,-1.32,90.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,-6.36,6.11,0.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,-12.92,13.90,0.00,3K3,CPF0201D7K68C1_0201
R18,-12.11,11.62,180.00,3K3,CPF0201D7K68C1_0201
R1_EP_DR1,-10.73,5.74,270.00,0.47,CPF0201D7K68C1_0201
R1_USB,-1.66,15.35,90.00,5K1,CPF0201D7K68C1_0201
R2,12.86,11.20,90.00,0,CPF0201D7K68C1_0201
R2_EP_DR,-10.85,7.23,0.00,10K,CPF0201D7K68C1_0201
R2_USB,1.41,14.67,90.00,5K1,CPF0201D7K68C1_0201
R3,-12.99,12.37,180.00,0,CPF0201D7K68C1_0201
R4,12.30,12.06,90.00,0,CPF0201D7K68C1_0201
R5,7.99,-11.86,0.00,10K,CPF0201D7K68C1_0201
R7,-13.39,-9.51,0.00,10K,CPF0201D7K68C1_0201
R8,-4.14,-11.44,0.00,10K,CPF0201D7K68C1_0201
R9,8.70,10.75,180.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,-5.89,-1.43,180.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,-8.72,5.49,180.00,2.2,CPF0201D7K68C1_0201
SJ1,-6.75,3.95,180.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN12,-12.01,-12.88,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,-0.70,-12.81,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,10.33,-12.84,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TD_SDA,-11.78,16.64,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP1,15.46,10.13,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP2,-18.75,11.26,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3.3V,-5.08,-15.69,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,17.05,16.27,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,-7.87,-15.63,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,-21.55,8.90,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,-14.67,16.68,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,-20.75,13.51,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,14.32,-15.58,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,-8.59,16.52,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,17.01,-14.71,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,19.32,-13.31,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,4.77,-15.41,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,6.21,10.70,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,14.68,16.62,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,8.24,-2.54,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,10.70,9.41,180.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,15.77,3.59,180.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,1.83,-1.48,90.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
